"Product Category","Product Focus",""
"Fashion","Clothes",""
"Fashion","Accessories","(Eg: Headwear; Belts; Scarves; Camellias Items; Suspenders; Gloves; Stocking; Bandeau)"
"Fashion","Costume Jewelry",""
"Fashion","Eyewear",""
"Fashion","Fine Jewelry",""
"Fashion","Shoes",""
"Fashion","Small Leather Goods","(Eg: Wallets on chain; Clutches with chain; Waist bags; Card holders; Wallets; Pouches and Cases; Coin purse)"
"Fashion","Electronic Device Covers",""
"Fine Jewelry","CoCo Crush",""
"Fine Jewelry","N°5",""
"Fine Jewelry","Other",""
"Other","Miscellaneous",""
"Other","Bedding","(Eg: Cushions; Blankets)"
"Other","Printed Goods","(Eg: Artworks)"
"Other","Scented Goods","(Eg: Air freshener; Candles and Wax melts)"
"Other","Pet Goods",""
"Other","Home Goods",""
"Bags","2.55",""
"Bags","Boy",""
"Bags","Gabrielle Chanel",""
"Bags","Timeless",""
"Bags","Chanel 22",""
"Bags","Chanel 19",""
"Bags","Other Chanel Bag",""
"Bags","Not in Chanel Catalogue ",""
"Cosmetics","Lips",""
"Cosmetics","Eyes",""
"Cosmetics","Skincare",""
"Cosmetics","Nails",""
"Cosmetics","Sample",""
"Cosmetics","N°1 DE CHANEL",""
"Cosmetics","Complexion","(Eg: Foundations; Base; Concealer; Powders; Highlighter; Blush; Glow Makeup; Bronzers) "
"Cosmetics","Other Chanel Cosmetics",""
"Cosmetics","Not in Chanel Catalogue ",""
"Perfumes","N°5 ",""
"Perfumes","Coco Mademoiselle",""
"Perfumes","Gabrielle Chanel",""
"Perfumes","Chance",""
"Perfumes","Coco",""
"Perfumes","Allure",""
"Perfumes","Bleu de Chanel",""
"Perfumes","Unboxed",""
"Perfumes","Tester",""
"Perfumes","Decant",""
"Perfumes","Sample",""
"Perfumes","Other Chanel Perfume",""
"Perfumes","Not in Chanel Catalogue ",""
"Watches","J12 ",""
"Watches","Premiere",""
"Watches","Boy Friend",""
"Watches","Code Coco",""
"Watches","Other Chanel Watch",""
"Watches","Not in Chanel Catalogue ",""
"Components","Accessories",""
"Components","Bags",""
"Components","Clothes",""
"Components","Cosmetics",""
"Components","Small Leather Goods",""
"Components","Perfume",""
"Components","Costume Jewellery",""
"Components","Shoes",""
"Components","Eyewear",""
"Components","Watches",""
"Components","Buttons",""
"Components","Other",""
"Repurposed Items ","Hairclip",""
"Repurposed Items ","Button Jewelry",""
"Repurposed Items ","Charm",""
"Repurposed Items ","Paper Bag",""
